##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	gruppe3_2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	363700503
1108	75-79	-0.044959873819717444
1108	80-84	-0.05462891548555504
1108	85-89	-0.031169695479249526
1108	90-94	0.00176752870048702
1108	95-99	0.02777076659367239
1108	100-104	-0.05263271165211947
1108	105-109	-0.14177161667945626
1108	110-114	-0.11974262811237679
1108	115-119	-0.07264486779391177
1108	120-124	-0.060139198120872095
1108	125-129	-0.044591839976703795
1108	130-134	-0.015249125147079212
1108	135-139	-0.012496516882759323
1108	140-144	0.01779039392914683
1108	145-149	0.02736081380043487
1108	150	0.013809451552059926
1109	1	-0.02950738782520901
1109	2	-0.025093066948482345
1109	3	-0.02842149980009978
1109	4	-0.01802785197998702
1109	5	-0.026213610820850164
1109	6	-0.040703206387224355
1109	7	-0.007542787037891685
1109	8	-0.04310151175472754
1109	9	-0.029470043437545
1109	10-14	-0.025778904405516556
1109	15-19	-0.047355648718099275
1109	20-24	-0.031508935451523
1109	25-29	-0.03333081838689722
1109	30-34	-0.0386879626421468
1109	35-39	-0.02472458087327567
1109	40-44	-0.014416365519522856
1109	45-49	-0.013723508765924208
1109	50-54	-0.013953792015943378
1109	55-59	-0.028536151131405063
1109	60-64	-0.018005868507088962
1109	65-69	-0.008047494756230122
1109	70-74	-0.005493967250533416
1109	75-79	-0.009829864661465848
1109	80-84	-0.009010483311275408
1109	85-89	0.013404969977276693
1109	90-94	0.028273355480344264
1109	95-99	0.033175506203612315
1109	100-104	7.964527061439242E-4
1109	105-109	-0.10391026227905087
1109	110-114	-0.0779896021715274
1109	115-119	-0.015041465706868706
1109	120-124	-0.007663629550293649
1109	125-129	0.007322207439955264
1109	130-134	0.02110095651657673
1109	135-139	0.04337776048723896
1109	140-144	0.04481168678115566
1109	145-149	0.034573145132526406
1109	150	0.0362355559643639
1110	1	-0.017266690166643173
1110	2	-0.013777668940853971
1110	3	-0.029782762162287924
1110	4	-0.01633200741962071
1110	5	-0.014274264977064632
1110	6	-0.004410439148838208
1110	7	-0.021492779905084802
1110	8	-0.04371377862385728
1110	9	-0.04151450192092554
1110	10-14	-0.03335097549018329
1110	15-19	-0.04321007726747084
1110	20-24	-0.03976199433081007
1110	25-29	-0.02797641061856382
1110	30-34	-0.03484497803496822
1110	35-39	-0.0262419580345572
1110	40-44	-0.023795331205153758
1110	45-49	-0.0297953028432687
1110	50-54	-0.0293659884169557
1110	55-59	-0.032206434126933914
1110	60-64	-0.0436596428344842
1110	65-69	-0.03878962656339269
1110	70-74	-0.04387525257327596
1110	75-79	-0.02042835677097088
1110	80-84	-0.032743268663484315
1110	85-89	3.636692380482032E-5
1110	90-94	0.01870313892522546
1110	95-99	0.0043321540060610175
1110	100-104	-0.01168464021771598
1110	105-109	-0.10079657428361344
1110	110-114	-0.09126024172275748
1110	115-119	-0.04684102783043542
1110	120-124	-0.02986266912688862
1110	125-129	-0.009241215327659091
1110	130-134	-0.014625688893136868
1110	135-139	0.010948211925377649
1110	140-144	0.004790312565905452
1110	145-149	0.020936455720015346
1110	150	0.05185598200100827
1111	1	-0.014951383480710234
1111	2	-0.035574543438766426
1111	3	-0.031951331704842545
1111	4	-0.03119312684165365
1111	5	-0.02283640380401053
1111	6	-0.03167338542660403
1111	7	-0.02638450416311855
1111	8	-0.07095915955644116
1111	9	-0.0373390743291111
1111	10-14	-0.03858908095615732
1111	15-19	-0.05677523228001391
1111	20-24	-0.05439995787541463
1111	25-29	-0.077636716849522
1111	30-34	-0.035907377176805255
1111	35-39	-0.04169033374417097
1111	40-44	-0.04694232712217783
1111	45-49	-0.0681728852915846
1111	50-54	-0.039343885651422994
1111	55-59	-0.04989685092282059
1111	60-64	-0.04169655617766921
1111	65-69	-0.053817618901543796
1111	70-74	-0.05826648525540534
1111	75-79	-0.037784192606093114
1111	80-84	-0.04405578421713585
1111	85-89	-0.031113032443162325
1111	90-94	0.00862901119192827
1111	95-99	0.011806809117484107
1111	100-104	-0.04819297651524934
1111	105-109	-0.14990470162832992
1111	110-114	-0.11579885892312092
1111	115-119	-0.059193365341151605
1111	120-124	-0.04026430867770614
1111	125-129	-0.026126726624806196
1111	130-134	-0.04710215115697025
1111	135-139	-0.025803311180503385
1111	140-144	-0.0011593553905768772
1111	145-149	0.0024363054930454098
1111	150	0.011495209443793897
1112	1	-0.02724513449278021
1112	2	-0.031320748746434646
1112	3	-0.037253128645605926
1112	4	-0.011451637659174452
1112	5	-0.008927336906257466
1112	6	-0.04395036536962138
1112	7	-0.020096784668421463
1112	8	-0.046235984412628994
1112	9	-0.05694439951189878
1112	10-14	-0.023687997807623873
1112	15-19	-0.04596903624839044
1112	20-24	-0.046544415470073375
1112	25-29	-0.035157092592616124
1112	30-34	-0.042530349902907716
1112	35-39	-0.018361255877277216
1112	40-44	-0.027110388838501365
1112	45-49	-0.034529658755189985
1112	50-54	-0.021019509367558697
1112	55-59	-0.020850728329829593
1112	60-64	-0.024763964846432174
1112	65-69	-0.04572788149390661
1112	70-74	-0.04330003444741948
1112	75-79	-0.03436865284758284
1112	80-84	-0.014450728599324947
1112	85-89	0.003737119215525553
1112	90-94	0.027472786699544116
1112	95-99	0.01915967215165537
1112	100-104	-0.026864672154211178
1112	105-109	-0.09151395123461725
1112	110-114	-0.09251972803229691
1112	115-119	-0.036060781693318944
1112	120-124	-0.026399659903795225
1112	125-129	-0.02303249391682627
1112	130-134	-8.495988128132126E-4
1112	135-139	-0.002381321564438821
1112	140-144	0.005294891095360299
1112	145-149	0.017642654823703197
1112	150	0.01874155776483377
1113	1	-0.0388378484150671
1113	2	-0.012804106518611746
1113	3	-0.03265508844551235
1113	4	-0.025098652541828415
1113	5	-0.028039005406171214
1113	6	-0.04178600815906108
1113	7	-0.031179628297355322
1113	8	-0.026548306639998742
1113	9	-0.020348482126046008
1113	10-14	-0.02060962937170885
1113	15-19	-0.020854997147239374
1113	20-24	-0.030560622316830433
1113	25-29	-0.040753913491879956
1113	30-34	-0.015034766783038833
1113	35-39	-0.014766668316180898
1113	40-44	-0.011660024709900796
1113	45-49	-0.02028376251599795
1113	50-54	-0.008752792888838457
1113	55-59	-0.016622950157128003
1113	60-64	-0.012394349965685336
1113	65-69	-0.02623926771302365
1113	70-74	1.4054332045887463E-4
1113	75-79	0.002058888161357686
1113	80-84	-0.01566138601514666
1113	85-89	-0.003651973956046106
1113	90-94	0.03522309882569985
1113	95-99	0.04173044620906197
1113	100-104	-0.006121471595943007
1113	105-109	-0.06818524737960985
1113	110-114	-0.10357727119973958
1113	115-119	-0.04794581332283343
1113	120-124	-0.030936365796719656
1113	125-129	-0.009148952895603912
1113	130-134	-0.004539500563261356
1113	135-139	0.004505213551336595
1113	140-144	0.003568773214787768
1113	145-149	0.02094204787975329
1113	150	0.009537123463747577
1114	1	-0.02555765640723351
1114	2	-0.0193368468459596
1114	3	-0.032999472547761144
1114	4	-0.041782725993879666
1114	5	-0.026326845709157
1114	6	-0.018642785606985512
1114	7	-0.02931359965593927
1114	8	-0.029517307289989247
1114	9	-0.005703774768203829
1114	10-14	-0.01443795816294724
1114	15-19	-0.028325569786318283
1114	20-24	-0.027812378084792755
1114	25-29	-0.028807939797868443
1114	30-34	-0.031039416516218665
1114	35-39	-0.012884647875448962
1114	40-44	-0.01823841842382734
1114	45-49	-0.016012233662401343
1114	50-54	-0.018294359316254116
1114	55-59	-0.021900515509933882
1114	60-64	-0.03408607104888617
1114	65-69	-0.014522122696735806
1114	70-74	-0.015473600803211696
1114	75-79	-0.015902753033902428
1114	80-84	-0.02934433312236706
1114	85-89	0.02702295779627306
1114	90-94	0.020820743853303014
1114	95-99	0.02810166763685018
1114	100-104	-0.00322358013765367
1114	105-109	-0.07776890682041682
1114	110-114	-0.09321794906770364
1114	115-119	-0.04959711932309574
1114	120-124	-0.025515113290360603
1114	125-129	-0.03239033139082892
1114	130-134	-0.015331631142505131
1114	135-139	-0.005473797378062528
1114	140-144	0.0038030918525251423
1114	145-149	0.007825554022659276
1114	150	-0.01194865971111625
1115	1	-0.032639783724906835
1115	2	-0.03707548655821924
1115	3	-0.01553965820443537
1115	4	-0.03633216245962245
1115	5	-0.01824156638118879
1115	6	-0.05827267596178842
1115	7	-0.04483813567967587
1115	8	-0.032458257237831134
1115	9	-0.05053903701199758
1115	10-14	-0.03852718217514095
1115	15-19	-0.04848105826852134
1115	20-24	-0.053963995142243704
1115	25-29	-0.037249393060566405
1115	30-34	-0.043263852226342436
1115	35-39	-0.03568640057674699
1115	40-44	-0.022932124190571557
1115	45-49	-0.020335295688461485
1115	50-54	-0.02917146585052066
1115	55-59	-0.018838594787169427
1115	60-64	-0.024119150033140357
1115	65-69	-0.026024985347973484
1115	70-74	-0.013528959667997498
1115	75-79	-0.020796464591530395
1115	80-84	-0.026616656659513183
1115	85-89	0.0012903013297176358
1115	90-94	0.03040092627470159
1115	95-99	0.012020101781111237
1115	100-104	-0.03750010916066415
1115	105-109	-0.11200889820713655
1115	110-114	-0.13030510715197607
1115	115-119	-0.0678475977196733
1115	120-124	-0.029309874422374094
1115	125-129	-0.04768645716592701
1115	130-134	-0.03567606662184275
1115	135-139	-0.021980323267957402
1115	140-144	-0.004994068474523772
1115	145-149	-0.010794080693081298
1115	150	0.012513903397771031
1116	1	-0.017440182477937327
1116	2	-0.026264263540785038
1116	3	-0.016229888295740125
1116	4	-0.024446062608642904
1116	5	-0.00450972955236395
1116	6	-0.03406482838915181
1116	7	-0.03932434525188455
1116	8	-0.06116240261336259
1116	9	-0.045903068310558126
1116	10-14	-0.024189328513060104
1116	15-19	-0.030102906961406717
1116	20-24	-0.030570185070235567
1116	25-29	-0.026599845631544383
1116	30-34	-0.01766727716488603
1116	35-39	-0.0192258265978964
1116	40-44	0.0023974406978233276
1116	45-49	-0.007925837775832889
1116	50-54	-0.017217767804002193
1116	55-59	-0.011427789970518631
1116	60-64	-0.020603401852195447
1116	65-69	-4.938241560132894E-4
